id_term,vanilla
Arunachali,1.4038832020014524
Assamese,1.6513745114207268
Bengali,1.4624708779156208
Bihari,1.4453303031623363
Chattisgarhi,1.5616511926054955
Goan,0.901637714356184
Gujarati,1.4509936589747667
Haryanvi,1.0211850106716156
Himachali,0.6076058130711317
Jharkhandi,1.6721495520323515
Kannadiga,1.2930858116596937
Kashmiri,1.2425724044442177
Madhya pradeshi,1.6096811508759856
Manipuri,1.141777751967311
Marathi,1.7777144629508257
Meghalayan,1.4290152620524168
Odiya,1.3744666669517756
Punjabi,1.4431428778916597
Rajasthani,1.3600623663514853
Tamilian,1.2167315315455198
Telugu,0.7710014320909977
Tripuri,0.8749878685921431
Uttar pradeshi,1.4624774577096105
Uttarakhandi,1.4747643489390612
